REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937702,1.3.16.1.1.1.4.1,8605
2016,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937703,1.3.16.1.1.1.4.2,34700
2016,Canada,2016A11124,"Career, technical or professional training diploma","Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937828,1.3.24.1.1.1.4.1,21555
2016,Canada,2016A11124,"Career, technical or professional training diploma","Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937829,1.3.24.1.1.1.4.2,36000
2016,Canada,2016A11124,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937954,1.3.27.1.1.1.4.1,1155
2016,Canada,2016A11124,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937955,1.3.27.1.1.1.4.2,38700
2016,Canada,2016A11124,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938080,1.3.33.1.1.1.4.1,2690
2016,Canada,2016A11124,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938081,1.3.33.1.1.1.4.2,41700
2016,Canada,2016A11124,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938206,1.3.38.1.1.1.4.1,15420
2016,Canada,2016A11124,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938207,1.3.38.1.1.1.4.2,46200
2016,Canada,2016A11124,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938332,1.3.46.1.1.1.4.1,1500
2016,Canada,2016A11124,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938333,1.3.46.1.1.1.4.2,37400
2016,Canada,2016A11124,"Career, technical or professional training diploma",Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938458,1.3.49.1.1.1.4.1,15290
